CallNumber,Author,Title,ISBN,PubName,PubYear
E 161 Str,"Strout, .",The Amerian image of the old world /,,Harper,1963
E 161 Tuv,"Tuveson, E. L.",Redeemer nation : the idea of Ameria's millennial role /,,U of hiago P,1968
E 161 Wel,"Welland, Dennis.",The United States : a ompanion to Amerian studies /,9780416415001;0416415008,Methuen,1987
E 161 Wil,"Wiltse, . M.",The Jeffersonian tradition in Amerian demoray /,,Hill & Wang,1960
E 161 Win,"Winks, R. W.","The myth of the Amerian frontier : its relevane to Ameria, anada and Australia /",9780718511104;0718511107,Leiester UP,1971
E 161 Wis,"Wish, H.",Soiety and thought in Ameria /,,MKay,1950
E 161 Wis,"Wish, H.",Soiety and thought in Ameria /,,MKay,1962
E 161.12 SH,"Shulman, Brue J.","The seventies : the great shift in Amerian ulture, soiety, and politis /",030681126X;9780306811265,Da apo,2002
E 161.5 SHA,"Shaffer, Marguerite S.","See Ameria first : tourism and national identity, 1880-1940 /",9781560989530;156098953X;9781560989769;1560989769,Smithsonian Institution,2001
E 161.5 Wit,,With women's eyes : visitors to the New World 1775-1918 /,9780208023711;0208023712,Arhon,1993
E 162 Ada,"Adams, James Truslow, 1878-1949.","Provinial soiety, 1690-1763 /",,Mamillan,1927
E 162 Atl,,Atlanti Amerian soieties : from olumbus through abolition 1492-1888 /,9780415080736;0415080738,Routledge,1992
E 162 BRI,"Bridenbaugh, arl.",ities in the wilderness : the first entury of urban life in Ameria 1625-1742 /,,Knopf,1960
E 162 Bak,"Bakeless, John, 1894-1978",The eyes of disovery : the pageant of North Ameria as seen by the first explorers /,,Dover,1961
E 162 Bar,"Bartlett, Rihard A.","The new ountry : a soial history of the Amerian frontier, 1776-1890 /",,OUP,1974
E 162 Boo,"Boorstin, Daniel J. 1914-2004. (Daniel Joseph),",The Amerians : the olonial experiene /,,Random House,1958
E 162 Bur,"Burnaby, A.","Travels through the middle settlements in North-Ameria in the years 1759 and 1760, with observations upon the state of the olonies /",,ornell UP,1960
E 162 DEL,"Delbourgo, James, 1972-",A most amazing sene of wonders : eletriity and enlightenment in early Ameria /,9780674022997;0674022998,Harvard University Press,2006
E 162 DEM,"Demos, John.",irles and lines : the shape of life in early Ameria /,9780674013247;0674013247,Harvard University Press,2004
E 162 DON,"Donegan, Kathleen",Seasons of misery : atastrophe and olonial settlement in early Ameria /,0812245407;9780812245400,University of Pennsylvania Press,2014
E 162 Dan,"Dankaerts, J.","Journal, 1679-1680 /",,Barnes,1959
E 162 Div,,Diversity and unity in early North Ameria /,9780415087995;0415087996,Routledge,1993
E 162 Dun,"Dunbar, Seymour, 1867-1947.",A history of travel in Ameria /,,Tudor,1937
E 162 Egg,"Eggleston, E.",The transit of ivilization from England to Ameria in the seventeenth entury /,,Beaon Press,1959
E 162 Fis,"Fisher, David Hakett, 1935-",Albion's seed : four British folkways in Ameria /,9780195069051;0195069056,Oxford University Press,1991
E 162 Gra,"Grant, Anne MaViar, 1755-1838.","Memoirs of an Amerian lady, with skethes of manners and senes in Ameria as they existed previous to the Revolution, with unpublished letters and a memoir of Mrs. Grant by James Grant Wilson /",,Dodd,1903
E 162 Gre,"Greene, Jak P. 1931- (Jak Phillip),",The intelletual onstrution of Ameria : exeptionalism and identity from 1492 to 1800 /,9780807820971;0807820970,U of North arolina P,1993
E 162 Gum,"Gummere, R. M.",The Amerian olonial mind and the lassial tradition : essays in omparative ulture /,,Harvard UP,1963
E 162 Ham,"Hamilton, Alexander, 1712-1756.","Gentleman's progress : the Itinerarium of Alexander Hamilton, 1744 /",,U of North arolina P,1948
E 162 Hof,"Hofstadter, Rihard, 1916-1970.",Ameria at 1750 : a soial portrait /,9780394717951;0394717953;9780224007108;0224007106,ape,1972
E 162 Jeh,"Jehlen, Myra.","Amerian inarnation : the individual, the nation, and the ontinent /",9780674024267;0674024265,Harvard UP,1986
E 162 Kal,"Kalm, P.",The Ameria of 1750 : Peter Kalm's travels in North Ameria /,,Dover,1966
E 162 Kam,"Kammen, Mihael G.",People of Paradox : an Inquiry onerning the Origins of Amerian ivilization /,9780394719337;0394719336;9780394460772;0394460774,Knopf,1972
E 162 LAN,"Landsman, Ned ., 1951-","From olonials to provinials : Amerian thought and ulture, 1680-1760 /",9780801487019;0801487013,ornell University Press,2000
E 162 Mat,"Appleby, Joye Oldham, 1929-","Materialism and morality in the Amerian past : themes and soures, 1680-1860 /",,Addison-Wesley,1974
E 162 Mer,"Mereness, N. D.",Travels in the Amerian olonies /,,Antiquarian P,1961
