CallNumber,Author,Title,ISBN,PubName,PubYear
JA 400 Bid,"Bidwell, Robin Leonard",Bidwell's guide to government ministers /,9780714630175; 0714630179,Cass,1974
JA 400 Bla,,The Blackwell encyclopaedia of political institutions /,9780631138419; 0631138412,Blackwell,1987
JA 400 Bla,,The Blackwell encyclopaedia of political thought /,9780631140115; 0631140115,Blackwell,1987
JA 400 COL,"Collin, P. H. 1935- (Peter Hodgson),",Dictionary of government and politics /,9780948549892; 0948549890,Peter Collin Publishing,2000
JA 400 COO,"Cook, Chris, 1945-",Commonwealth political facts /,9780333188279; 0333188276,Macmillan,1979
JA 400 Con,,The concise Oxford dictionary of politics /,9780192802767; 0192802763,Oxford University Press,2003
JA 400 Con,,The concise Oxford dictionary of politics /,9780192852885; 0192852884,OUP,1996
JA 400 Dic,,Dictionary of modern political ideologies /,9780719018824; 071901882X,Manchester UP,1987
JA 400 Ell,"Elliott, F.",A dictionary of politics /,9780140510102; 0140510109,Penguin,1973
JA 400 Enc,,Encyclopaedia of the Labour Movement.,,Caxton Pub Co,1928
JA 400 Eva,"Evans, Graham.","The dictionary of world politics : a reference guide to concepts, ideas and institutions /",9780745012230; 074501223X,Harvester Wheatsheaf,1992
JA 400 Fac,,The Facts on File world political almanac /,9780816026036; 0816026033,Facts on File,1992
JA 400 Int,,International relations dictionary.,,USGPO,1980
JA 400 Int,International Institute for Legal and Administrative Terminology.,"Amenagement du territoire : francais-allemand, allemand-francais.",,Langenscheidt,1970
JA 400 Int,International Political Science Association.,Synthesis report on the I.P.S.A. : 20 years activities 1949-1969.,,The Association,1970
JA 400 Joh,"Johnson, Stanley C. 1878- (Stanley Currie),",The Penguin political atlas /,,Penguin,1940
JA 400 Lan,"Lane, Jan-Erik.",Political data handbook : OECD countries /,9780198280538; 019828053X,OUP,1997
JA 400 Laq,"Laqueur, Walter, 1921-2018.",A dictionary of politics /,,Pan,1973
JA 400 McC,"McCarthy, E. J.",Dictionary of American politics /,,Collier-Macmillan,1968
JA 400 Oxf,,The Oxford companion to politics of the world /,9780195117394; 0195117395,Oxford University Press,2001
JA 400 Pet,,Petite encyclopedie politique /,,Editions du Seuil,1969
JA 400 ROU,"Robertson, David, 1946-",The Routledge dictionary of politics /,9780415323772; 0415323770,Routledge,2003
