Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
Hybrid Steptree/Treecube,thumbs100png/Schulz2011_7.png,3D,Hybrid: Contained+Adjacent,,Shape-based,Rectangle,
Hybrid Sunburst/Treemap,thumbs100png/Webber2006.png,2D,Adjacent,Adjoined by a side,Hybrid: Shape-based+Hilbert Curve,Rectangle,
Hybrid-Treemap,thumbs100png/Hahn2017.png,2D,Contained,Tightly nested,Shape-based,Rectangle+Polygon,
Hyperbolic Browser,thumbs100png/Lamping1995.png,2D,Node-link,,Hyperbolic,,
Hyperbolic Half-Plane Visualization,thumbs100png/Hida2005.png,2D,Node-link,,Hyperbolic,,
Hyperbolic Look-alike,thumbs100png/Vernier2002.png,2D,Node-link,,Hyperbolic,,
Hyperbolic Wheel,thumbs100png/Lam2012.png,2D,Adjacent,Adjoined by a side,Hyperbolic,,
Inclusion Tree Layout Convention,thumbs100png/Eades1993_2.png,2D,Contained,Loosely packed,Shape-based,Rectangle,
Incremental Layout by Boundary Shapes,thumbs100png/Workman2004.png,2D,Node-link,,Linear,,
Indentation,thumbs100png/Knuth1968.png,2D,Adjacent,Adjacent to each other,Not enough information,,Left-right
Indented Linear Timeline,thumbs100png/Venolia2003.png,2D,Node-link,,Indented,,
Indented Pixel Tree Plots,thumbs100png/Burch2010.png,2D,Adjacent,,Indented,,
Infinite Tree Layout,thumbs100png/Demetrescu1999.png,2D,Node-link,,Linear,,
Information Cube,thumbs100png/Rekimoto1993.png,3D,Contained,Loosely packed,Shape-based,Cube,Top-down
Information Pyramides,thumbs100png/Andrews1997.png,3D,Contained,Loosely packed,Shape-based,Rectangle,
Information Slices,thumbs100png/Andrews1998.png,2D,Adjacent,Adjoined by a side,Radial,,
InfoSky,thumbs100png/Andrews2002.png,2D,Contained,Loosely packed,Shape-based,Polygon,
Innovated Squarified Treemap,thumbs100png/Lai2015.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
InterRing,thumbs100png/Yang2002.png,2D,Adjacent,Adjoined by a side,Radial,,
Jester Hat,thumbs100png/Burch2020_1.png,2D,Adjacent,Adjoined by a vertex,Linear,,Bottom-up
Jigsaw Map,thumbs100png/Wattenberg2005.png,2D,Contained,Tightly nested,Shape-based,Polygon,
Kaleidoscope Visualization,thumbs100png/Tick1992.png,2D,Node-link,,Shape-based,Curve,
Labeled Balanced Treemap,thumbs100png/Lu2013.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Large Tree Visualization,thumbs100png/Heard2009.png,2D,Node-link,,Radial,,
LensTree,thumbs100png/Song2006.png,2D,Node-link,,Indented,,
Lifemap Nested Semicircles,thumbs100png/deVienne2016.png,2D,Node-link,,Angle-based,,
Lifted Treemap,thumbs100png/Chaudhuri2009.png,3D,Contained,Tightly nested,Shape-based,Rectangle,Bottom-up
Linked Treemap,thumbs100png/Linsen2011.png,3D,Hybrid: Node-link+Contained,,Linear+Shape-based,Rectangle,
Logarithmic Spiral Tree,thumbs100png/Buchin2011b.png,2D,Node-link,,Shape-based,Curve,
Magic Eye View,thumbs100png/Kreuseler1999.png,2D,Node-link,,Radial,Spiral layout - Angle-Restricted Steiner Arborescences,
Magic Treemap Cube,thumbs100png/Chen2010.png,3D,Contained,Tightly nested,Shape-based,Cube,
Maximally-symmetric Layout,thumbs100png/Manning1988.png,2D,Node-link,,Radial,,
Memory Islands,thumbs100png/Ganascia2004.png,3D,Contained,,Shape-based,,
Metro Map Tree,thumbs100png/Korst2020.png,2D,Node-link,,Shape-based,Curve,
Minimum Spanning Tree Approximation,thumbs100png/Giacomo2010.png,2D,Node-link,,Balloon,Geographical,
Minimum-Layer Drawing,thumbs100png/Mondal2011.png,2D,Node-link,,Linear,,
Mixed-Projection Treemap,thumbs100png/Limberger2017.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Modifiable Treemap,thumbs100png/Vernier2000.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
MoireTrees,thumbs100png/MohammadiAragh2005.png,2D,Adjacent,Adjacent to each other,Radial,,
Mondrian Treemap,thumbs100png/Chauhan2010.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Multilevel Silhouette Tree,thumbs100png/Boutin2005.png,2D,Hybrid: Node-link+Adjacent,,Radial,,
Multivariate Bubble Treemap,thumbs100png/Zheng2021_1.png,2D,Contained,Tightly nested,Shape-based,Curve,
Multivariate Circular Treemap,thumbs100png/Zheng2021_2.png,2D,Contained,Loosely packed,Shape-based,Circle,
Multivariate Hierarchic Plots,thumbs100png/Tekusova2008.png,3D,Adjacent,Adjoined by a side,Radial,,
Navigable Strip Chart,thumbs100png/Armitage2016.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Nested Columns,thumbs100png/Johnson1993_4.png,3D,Contained,Loosely packed,Shape-based,Cylinder,
Nested Hemispheres,thumbs100png/Balzer2004.png,3D,Contained,Loosely packed,Shape-based,Hemispheres,
Nested Pie Chart,thumbs100png/Sukla2005.png,2D,Adjacent,Adjoined by a side,Radial,,
Nested Pietree,thumbs100png/Schulz2013_1.png,2D,Contained,Tightly nested,Shape-based,Circle,
Nested Self-Organising Map,thumbs100png/Ye2000.png,2D,Contained,Loosely packed,Shape-based,Rectangle,
NMap,thumbs100png/Duarte2014.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Non-layered Tidy Trees,thumbs100png/Ploeg2014.png,2D,Node-link,,Linear,,
Non-orthogonal Planar Straight-line Grid Drawing,thumbs100png/Rusu2007a.png,2D,Node-link,,Angle-based,Top-down,
OneZoom,thumbs100png/Rosindell2012.png,2D,Node-link,,Linear,Non-orthogonal Planar Straight-line,
Optimal Tree Layout,thumbs100png/Fischer1980.png,2D,Node-link,,Linear,Bottom-up,
Ordered Area Representation,thumbs100png/Bertin1967_1.png,2D,Contained,,access problem,,Bottom-up
Ordered Sunburst,thumbs100png/Chen2015.png,2D,Adjacent,Adjoined by a side,Radial,,
Ordered Tree Drawing on k-Grids,thumbs100png/Brunner2010.png,2D,Node-link,,Angle-based,,
Ordered Treemap,thumbs100png/Shneiderman2001.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Orthogonal Grid Embedding,thumbs100png/Gregori1989.png,2D,Node-link,,Angle-based,,
Orthogonal Voronoi Treemap,thumbs100png/Wang2020.png,2D,Contained,Tightly nested,Shape-based,Rectangle+Orthogonal Layout?,
Orthographic Treemap,thumbs100png/Benson2010.png,3D,Contained,Tightly nested,Shape-based,Rectangle,
Outside-in Hierarchical Tree Visualization,thumbs100png/Keahey2018.png,2D,Adjacent,Adjoined by a side,Radial,,
PaintingClass Tree Layout,thumbs100png/Teoh2003.png,2D,Node-link,,Linear,,
PaisleyTree,thumbs100png/Etemad2014.png,2D,Node-link,,Shape-based,Circle,
PansyTree,thumbs100png/Dong2020.png,2D,Node-link,,Balloon,Spiral/paisley,
Parametrizable Treemap,thumbs100png/Telea2006.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Parent-centered Radial Layout,thumbs100png/Pavlo2006.png,2D,Node-link,,Radial,,
