lccparent,lccchild,lcccaption,dcchild,dccaption
L,LA,History of education,370.9,"Historical, geographic, persons treatment"
L,LB,Theory and practice of education,370.15,Educational psychology
L,LB,Theory and practice of education,371,Schools & activities; special education
L,LB,Theory and practice of education,372,Elementary education
L,LB,Theory and practice of education,373,Secondary education
L,LB,Theory and practice of education,378.1,Organization & activities in higher education
L,LB,Theory and practice of education,378.2,Academic degrees & related topics
L,LB,Theory and practice of education,378.3,Student aid & related topics
L,LC,Special aspects of education,306.43,Education--sociology
L,LC,Special aspects of education,370.11,Education for specific objectives
L,LC,Special aspects of education,371.82,Specific kinds of students
L,LC,Special aspects of education,374,Adult education
L,LC,Special aspects of education,379,Public policy issues in education
L,LD,Individual institutions - United States,378.73 - 378.79,Higher education--United States
L,LE,Individual institutions - America (except United States),378.8,Universities & colleges--Latin America
L,LF,Individual institutions - Europe,378.4,Higher education--Europe
L,LG,"Individual institutions - Asia, Africa, Oceania",378.5 - 378.6,Higher education--Africa
L,LH,College and school magazines and newspapers,378,Higher education
L,LT,Textbooks,na,na
LCC,M,Musical Works,782 - 788,"Ensembles, voices, instruments"
M,ML,Literature on music,780,Music
M,MT,Musical instruction and study,781 - 781.4,General principles & musical forms
LCC,N,Visual arts (General),700,The arts; Fine and decorative arts
LCC,N,Visual arts (General),701,Philosophy of fine & decorative arts
LCC,N,Visual arts (General),702,Miscellany of fine & decorative arts
LCC,N,Visual arts (General),703,Dictionaries of fine & decorative arts
LCC,N,Visual arts (General),704,Special topics of fine & decorative arts
LCC,N,Visual arts (General),705,Serial publications of fine & decorative arts
LCC,N,Visual arts (General),706,Organizations & management
LCC,N,Visual arts (General),707,"Education, research, related topics"
