parent,child,caption
WA,WA 900-950,Statistics and Surveys
W,WB,Practice of Medicine
WB,WB 930,Homeopathy
W,WC,Infectious/Communicable Disease
WC,WC 11,Infectious/Comm. Dis.--History
WC,WC 1-100,Infectious/Comm. Dis. (General)
WC,WC 140-185,Sexually Transmitted Diseases
WC,WC 195-425,Infection/Bacterial Infections
WC,WC 500-593,Virus Diseases
WC,WC 680-950,Tropical and Parasitic Diseases
W,WD,Metabolic Diseases
WD,WD 200-226,Metabolic Diseases
WD,WD 400-430,Animal Poisons
WD,WD 500-530,Plant Poisons
WD,WD 600-675,Diseases by Physical Agents
WD,WD 700-758,Aviation and Space Medicine
W,WE,Musculoskeletal System
WE,WE 11,Musculoskel. System--History
WE,WE 168-190,Orthopaedics
W,WF,Respiratory System
WF,WF 11,Respiratory System--History
W,WG,Cardiovascular System
WG,WG 11,Cardiovascular System--History
W,WH,Hemic/Lymph. Systems
WH,WH 11,Hemic/Lymph. Systems--History
W,WI,Gastrointestinal System
WI,WI 11,Digestive System--History
W,WJ,Urogenital System
WJ,WJ 11,Urogenital System--History
W,WK,Endocrine System
WK,WK 11,Endocrine System--History
W,WL,Nervous System
WL,WL 11,Nervous System--History
W,WM,Psychiatry--History
WM,WM 11,Psychiatry--History
WM,WM 1-105,Psychiatry (General)
WM,WM 140-165,Mental Disorders. Diagnosis.
WM,WM 170-197,Neurotic Disorders
WM,WM 200-220,Psychotic Disorders
WM,WM 270-290,Substance-Related Disorders
WM,WM 300-308,Mental Retardation
WM,WM 400-460.7,Therapies
WM,WM 475-611,Other Disorders
W,WN,Radiology/Diagnostic Imaging
WN,WN 11,Radiol./Diag. Imaging--History
WN,WN 440,Nuclear Medicine
W,WO,Surgery
WO,WO 11,Surgery--History
WO,WO 1-149,Surgery (General)
WO,WO 162-198,Surg. Procedure/Armamentarium
WO,WO 200-460,Anesthesia
WO,WO 500-517,Operative Surg./Surg. Techniques
WO,WO 600-640,Plastic Surgery
WO,WO 700-820,Traumatic/Industrial/Emerg. Surg.
WO,WO 925-950,Surgery in Special Age Groups
W,WP,Gynecology
WP,WP 1-390,Gynecology (General)
WP,WP 400-480,Uterus & Cervix Uteri
WP,WP 505-660,Physiology & Functional Disorders
WP,WP 800-910,Breast
W,WQ,Obstetrics
WQ,WQ 11,Obstetrics--History
WQ,WQ 1-175,Obstetrics (General)
WQ,WQ 200-260,Pregnancy
WQ,WQ 300-330,Labor
WQ,WQ 400-450,Obstetrical Surgery
WQ,WQ 500-505,Puerperium
W,WR,Dermatology
WR,WR 11,Dermatology--History
W,WS,Pediatrics
WS,WS 11,Pediatrics--History
W,WT,Geriatrics/Chronic Diseases
WT,WT 11,Geriatrics/Chronic Dis.--History
W,WU,Dentistry/Oral Surgery
WU,WU 11,Dentistry/Oral Surg.--History
W,WV,Otorhinolaryngology
WV,WV 11,Otorhinolaryngology--History
W,WW,Ophthalmology
WW,WW 11,Ophthalmology--History
W,WX,Hospitals & Health Facilities
WX,WX 11,Hospitals/Health Fac.--History
W,WY,Nursing
WY,WY 11,Nursing--History
W,WZ,History of Medicine
LCC,Z,"Bibliography, Library Science"
Z,Z 40-104.5,Books. Writing. Paleography. Libraries. Bibliography
Z,Z 105-115.5,Books. Writing. Paleography. Libraries. Bibliography
Z,Z 116-659,Books. Writing. Paleography. Libraries. Bibliography
Z,Z 662-1000.5,Books. Writing. Paleography. Libraries. Bibliography
Z,Z 699-699.5,Books. Writing. Paleography. Libraries. Bibliography
Z,Z 1001-8999,Books. Writing. Paleography. Libraries. Bibliography
Z,ZA,Information resources / Materials
ZA,ZA 3150-3159,Information resources (General)
ZA,ZA 3201-3250,Information resources (General)
ZA,ZA 4050-4480,Information resources (General)
ZA,ZA 5060-5185,Information resources (General)
