dcchild,dccaption
333 - 333.5,Economics of land
338,Production
383 - 388,Communications & transportation
337,International economics
381,Internal commerce (Domestic trade)
382,International commerce (Foreign trade)
650,Management & public relations
651,Office services
657,Accounting
658,General management
659.1,Advertising
332,Financial economics
336,Public finance
649.1 - 641.7,Child rearing & home care of children
419,Sign languages
335,Socialism & related systems
320 - 320.09,Political science
340 - 340.5,Law
341,International law
370,Education
370.1,Philosophy & theory
370.3,Education--Dictionaries
370.5,Education--Periodicals
370.7,"Education, research, related topics"
370.8,History & description with respect to kinds of persons
370.9,"Historical, geographic, persons treatment"
370.15,Educational psychology
371,Schools & activities; special education
372,Elementary education
373,Secondary education
378.1,Organization & activities in higher education
378.2,Academic degrees & related topics
378.3,Student aid & related topics
306.43,Education--sociology
370.11,Education for specific objectives
371.82,Specific kinds of students
374,Adult education
379,Public policy issues in education
378.73 - 378.79,Higher education--United States
378.8,Universities & colleges--Latin America
378.4,Higher education--Europe
378.5 - 378.6,Higher education--Africa
378,Higher education
782 - 788,"Ensembles, voices, instruments"
780,Music
781 - 781.4,General principles & musical forms
700,The arts; Fine and decorative arts
701,Philosophy of fine & decorative arts
702,Miscellany of fine & decorative arts
703,Dictionaries of fine & decorative arts
704,Special topics of fine & decorative arts
705,Serial publications of fine & decorative arts
706,Organizations & management
707,"Education, research, related topics"
708,"Galleries, museums, private collections"
709,"Historical, geographic, persons treatment"
711,Area planning (Civic art)
720,Architecture
730,Plastic arts; Sculpture
740,Drawing & decorative arts
741,Drawing & drawings
742,Perspective
743,Drawing & drawings by subject
750,Painting & paintings
760,Graphic arts; Printmaking & prints
745,Decorative arts
746,Textile arts
747,Interior decoration
748,Glass
749,Furniture & accessories
700.1,Philosophy of the arts
700.4,Special topics of the arts
700.5,Serial publications of the arts
700.9,"Historical, geographic, persons treatment of the arts"
400 - 418,Language; Linguistics
491.993 - 491.998,Other Indo-European languages
499.94,Etruscan language
419,Sign languages
470,Latin & Italic languages
480,Classical & modern Greek languages
870,Latin & Italic literatures
880,Classical & modern Greek literatures
491.6,Celtic languages
891.6,Celtic literatures
410,Linguistics
849,Provencal & Catalan literatures
859,Romanian & Rhaeto-Romanic literatures
440,French & related languages
460,Spanish & Portuguese languages
450,"Italian, Romanian & related languages"
430 - 438,German & related languages
439.5 - 439.8,North Germanic languages (Nordic languages)
439.9,East Germanic languages
420,English & Old English Languages
430 - 438,German & related languages
439.2 - 439.4,Low Germanic languages
839.2,Frisian literature
491.7,East Slavic languages; Russian language
491.8,Slavic (Slavonic) languages
491.9 - 491.991,Baltic languages; Albanian language
891.7,East Slavic literatures; Russian literature
891.8,Slavic (Slavonic) literatures
891.9 - 891.991,Baltic literatures; Albanian literature
494.4,Samoyedic languages
494.5,Finno-Ugric languages
499.92,Basque language
894.5,Finno-Ugric literatures
899.92,Basque literature
439.1,Yiddish language
492,Afro-Asiatic languages; Semitic languages
493 - 493.5,Non-Semitic Afro-Asiatic languages
499.95,Sumerian language
839.1,Yiddish literature
892,Afro-Asiatic literatures; Semitic literatures
893 - 893.5,Non-Semitic Afro-Asiatic literatures
899.95,Sumerian literature
491.1 - 491.5,Indo-Iranian languages
499.96,Caucasian languages
891.1 - 891.5,Indo-Iranian literatures
899.96,Caucasian literatures
491.992,Armenian language
891.992,Armenian literature
494 - 494.3,Ural-Altaic languages
494.6,Ainu language
494.8,Dravidian languages
495,Languages of East & Southeast Asia
499.1 - 499.5,Austronesian & other languages
894 - 894.4,Ural-Altaic literatures
894.6,Ainu literature
894.8,Dravidian literatures
895,Literatures of East & Southeast Asia
899.1 - 899.5,Austronesian & other literatures
493.7,Chadic languages
496,African languages
893.7,Chadic literatures
896,African literatures
494.6,"Altaic, Uralic, Hyperborean, Dravidian languages"
497,North American native languages
498,South American native languages
499.99,Artificial languages
897,Literatures of North American native languages
898,Literatures of South American native languages
800 - 809,"Literature, rhetoric & criticism"
840,French & related literatures
850,"Italian, Romanian & related literatures"
860,Spanish & Portuguese literatures
820,English & Old English (Anglo-Saxon) literatures
810,American literature in English
830,German & related literatures
500,Natural sciences & mathematics
501,Philosophy of science
502,Miscellany
503,Dictionaries & encyclopedias
505,Serial publications
506,Organizations & management
507,"Education, research, related topics"
509,"Historical, geographic, persons treatment"
3,Systems
510,Mathematics
004 - 006,Data processing; Computer science
520,Astronomy & allied sciences
521,Celestial mechanics
522,"Techniques, equipment, materials"
523,Specific celestial bodies & phenomena
525,Earth (Astronomical geography)
528,Ephemerides
529,Chronology
530,Physics
540,Chemistry & allied sciences
550,Earth sciences
551,"Geology, hydrology, meteorology"
552,Petrology
553,Economic geology
554,Earth sciences of Europe
555,Earth sciences of Asia
556,Earth sciences of Africa
557,Earth sciences of North America
558,Earth sciences of South America
559,Earth sciences of other areas
560 - 561,Paleontology; Paleozoology
576,Genetics & evolution
577,Ecology
578,Natural history of organisms
508,Natural history
571,Physiology & related subjects
572,Biochemistry
573,Specific systems in animals
575,Specific parts of & physiological systems in plants
579.4 - 579.8,"Protozoa, fungi, mushrooms, lichens, algae"
580,Plants
590,Animals
611,"Human anatomy, cytology, histology"
571,Physiology & related subjects
572,Biochemistry
573,Specific systems in animals
612,Human physiology
579 - 579.3,Microorganisms
611,"Human anatomy, cytology, histology"
611,"Human anatomy, cytology, histology"
362.1783,Organ & tissue banks
611.018,Cytology & histology
612.64,Physiology of embryo & fetus
616.043,Congenital diseases
612,Human physiology
612,Human physiology
612,Human physiology
613,Promotion of health
617.1027,Athletic injuries
612.015,Biochemistry
613.2,Dietetics
615.1,Drugs (Materia medica)
615.109,Drugs (Materia medica)--history
615.1,Drugs (Materia medica)
615.2,Inorganic drugs
615.3,Organic drugs
615.7,Pharmacodynamics
615.9,Toxicology
615.1,Drugs (Materia medica)
615.2,Inorganic drugs
615.3,Organic drugs
615.4,Practical pharmacy
615.7,Pharmacodynamics
616.01,Medical microbiology
616.079,Immunity
616.96,Parasitic diseases
616.07,Pathology
616.0709,Pathology--history
571.9,Diseases--Pathology
616.07,Pathology
616.992,Tumors
616.993,Benign tumors
616.994,Cancers
636.089607,Veterinary pathology
616.0709,Pathology--history
630,Agriculture
631 - 631.4,"Techniques, equipment, materials"
631.6,"Clearing, drainage, revegetation"
631.7,Water conservation
631.8,"Fertilizers, soil conditioners, growth regulators"
581.6,Miscellaneous nontaxonomic kinds of plants
631.5,Cultivation & harvesting
632,"Plant injuries, diseases, pests"
633,Field & plantation crops
634.1 - 634.6,Orchards & their fruits
634.7,Berries & herbaceous tropical & subtropical fruits
634.8,Grapes
635,Garden crops (Horticulture)
634.9,Forestry
636,Animal husbandry
637,Processing dairy & related products
638,Insect culture
798,Equestrian sports & animal racing
639.2,"Commercial fishing, whaling, sealing"
639.3,Culture of cold-blooded vertebrates; Fish culture
639.4,Mollusk fisheries & culture
639.5,Crustacean fisheries
639.6,Crustacean culture
639.7,Harvest & culture of invertebrates other than mollusks & crustaceans
639.8,Aquaculture
799.1,Fishing
639.1,Hunting
639.9,Conservation of biological resources
799.2,Hunting
600,Technology (Applied sciences)
601,Philosophy & theory
602,Miscellany
603,Dictionaries & encyclopedias
604,"Technical drawing, hazardous materials technology"
605,Serial publications
606,Organizations
607,"Education, research, related topics"
608,Inventions & patents
609,"Historical, geographic, persons treatment"
620.8,Human factors & safety engineering
526.9,Surveying
624,Civil engineering
624.1,Structural engineering & underground construction
629.04,Transportation engineering
681.2,"Testing, measuring, sensing instruments"
627,Hydraulic engineering
363.7,Environmental problems
628,Sanitary & municipal engineering
625.7 - 625.8,Engineering of roads
624.2 - 625.8,Bridges--Design and construction
690,Buildings
604.2,Technical drawing
